source_path,source_sha256,source_page,cells,status,error
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Bandwan.pdf,2d8ec6d056085bcb0e44c963f55107308023497eaf2ddc830b7a8467fe8b6135,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Barabazar.pdf,b28a4e5c95d5f383506577ac10e0a203d6e23531f2b8e286293db4a9c81e09ff,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Hura.pdf,91c7b4cce9929a1ba8765e21c91086d20465df1338783e8b9a43217742d1dbc1,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Jhalda-I.pdf,cac852734ff55453a4c66e1a33fd9f76c4df55d506bbffb2050cb790050ca561,1,6,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Jhalda-II.pdf,1513c2ed770c4c97455dd024458565c6ad009beb89422be02b8f00bb869a2b64,1,2,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Joypur.pdf,30e9edb92459085fcc368dbbd5bece4758ffe5a3373fa20a02513a9946cc6f88,1,2,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Kashipur.pdf,63eea96148e205712a5015d5160ba0b43284111f11b951ec0ccc8013b15b07db,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Manbazar-I.pdf,a3f907c3efe0e54d2f78c0c2e9c4de673192b4ad13052e809ec820616805ce28,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Manbazar-II.pdf,112184f5bb077cb216d80bce9dadf83b43e763cc91c24d6f9c8907b0b0604d91,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Neturia.pdf,5b1a2877fd976ed960b3ecd14908d63c1ac9e21b9b595d56265ebe88eba2d289,1,2,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Para.pdf,39bb3ab0b7ca05a9030dca67cdce7ee16e5228fb93dad9df08a6f1981ee450ad,1,6,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Puncha.pdf,a25462f948c7739b43da57281c2b4d9cc3d1847b7ac19f962791e0ff8f0e72b5,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Purulia-I.pdf,0f53ed43f261a010c010260fbd0441394eb3a34627cc199fce6f896c2eb31568,1,2,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Purulia-II.pdf,259d0de8b3cebc7ffe302434b92e005eaff1447f6339d1b58886e613bd4936c1,1,8,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Raghunathpur-I.pdf,622baf98c4406989badb3fb9ebdd34b5ddba2853825fa1e2c679bfa7ba4fa1e5,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Raghunathpur-II.pdf,f505b250611f3e5e83b9a016b4356228be62f5fe97165834373d777c488161b6,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Santuri.pdf,ad2aff428ec7ae4ce3264d0b899e49a3dc31f58370ac45570a7334c7a1c67f9b,1,6,cells_extracted_review_pending,
data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,1,22,cells_extracted_review_pending,
data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,2,52,cells_extracted_review_pending,
data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,3,44,cells_extracted_review_pending,
data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,4,46,cells_extracted_review_pending,
data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,5,40,cells_extracted_review_pending,
