state,year,district,block,gram_panchayat,seats_contested_printed,seats_declared_printed,party_counts_sum,declared_minus_party_counts,party_counts_cover_declared,AIFB,AITC,BJP,BSP,CPI,CPI(M),INC,MFB,RSP,OTHERS,source_html_row,source_path,source_sha256,source_url
West Bengal,2003,Hooghly,Dhaniakhali,DHANIAKHALI-I,0,15,0,15,False,0,0,0,0,0,0,0,0,0,0,54,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,BHANDARHATI-II,11,13,11,2,False,1,1,0,0,0,9,0,0,0,0,55,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,SOMASPUR-II,0,13,0,13,False,0,0,0,0,0,0,0,0,0,0,56,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,BELMURI,20,21,20,1,False,2,1,0,0,0,17,0,0,0,0,57,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,KHEJURDAHA-MELKI,0,18,0,18,False,0,0,0,0,0,0,0,0,0,0,58,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,DASGHARA-II,1,15,1,14,False,0,0,0,0,0,0,0,0,0,1,59,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,BHANDARHATI-I,6,11,6,5,False,1,0,0,0,0,5,0,0,0,0,60,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,SOMASPUR-I,0,14,0,14,False,0,0,0,0,0,0,0,0,0,0,61,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,GURBARI-II,0,12,0,12,False,0,0,0,0,0,0,0,0,0,0,62,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,GOPINATHPUR-I,14,16,14,2,False,0,3,0,0,0,11,0,0,0,0,63,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,MANDRA,13,20,13,7,False,1,0,0,0,0,12,0,0,0,0,64,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,GURBARI-I,9,12,9,3,False,1,0,0,0,0,8,0,0,0,0,65,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,BHASTARA,0,19,0,19,False,0,0,0,0,0,0,0,0,0,0,66,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,DASGHARA-I,0,13,0,13,False,0,0,0,0,0,0,0,0,0,0,67,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
