group,district,union,start_page,end_page,rows,category_counts
162,ERODE DISTRICT,Sathyamangalam Panchayat Union,72,72,15,"{'stgeneral': 1, 'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 7}"
163,ERODE DISTRICT,Bhavanisagar Panchayat Union,72,72,15,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
164,ERODE DISTRICT,Thalavadi Panchayat Union,72,72,10,"{'stgeneral': 1, 'scwomen': 1, 'scgeneral': 1, 'generalwomen': 3, 'general': 4}"
165,ERODE DISTRICT,Bhavani Panchayat Union,72,72,15,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 4, 'general': 9}"
166,ERODE DISTRICT,Anthiyur Panchayat Union,72,72,14,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 4, 'general': 8}"
167,ERODE DISTRICT,Ammapettai Panchayat Union,72,72,20,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 11}"
168,COIMBATORE DISTRICT,Annur Panchayat Union,73,73,21,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 5, 'general': 10}"
169,COIMBATORE DISTRICT,Anaimalai Panchayat Union,73,73,19,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 9}"
170,COIMBATORE DISTRICT,Karamadai Panchayat Union,73,73,17,"{'stgeneral': 1, 'scwomen': 1, 'scgeneral': 2, 'generalwomen': 5, 'general': 8}"
171,COIMBATORE DISTRICT,Kinathukadavu Panchayat Union,73,73,34,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 9, 'general': 18}"
172,COIMBATORE DISTRICT,Madukkarai Panchayat Union,74,74,9,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 2, 'general': 5}"
173,COIMBATORE DISTRICT,Periyanaickenpalayam Panchayat Union,74,74,9,"{'scgeneral': 1, 'generalwomen': 3, 'general': 5}"
174,COIMBATORE DISTRICT,Pollachi (North) Panchayat Union,74,74,39,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 10, 'general': 21}"
175,COIMBATORE DISTRICT,Pollachi(South) Panchayat Union,74,74,26,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 7, 'general': 14}"
176,COIMBATORE DISTRICT,Sulthanpet Panchayat Union,74,74,20,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 11}"
177,COIMBATORE DISTRICT,Sulur Panchayat Union,74,75,17,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 5, 'general': 9}"
178,COIMBATORE DISTRICT,Sarkarsamakulam Panchayat Union,75,75,7,"{'scgeneral': 1, 'generalwomen': 3, 'general': 3}"
179,COIMBATORE DISTRICT,Thondamuthur Panchayat Union,75,75,10,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 3, 'general': 5}"
180,TIRUPUR DISTRICT,Avinashi Panchayat Union,76,76,31,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 8, 'general': 15}"
181,TIRUPUR DISTRICT,Dharapuram Panchayat Union,76,76,16,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
182,TIRUPUR DISTRICT,Gudimangalam Panchyat Union,76,76,23,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 6, 'general': 12}"
183,TIRUPUR DISTRICT,Kangeyam Panchayat Union,76,76,15,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
184,TIRUPUR DISTRICT,Kundadam Panchayat Union,76,77,24,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 6, 'general': 12}"
185,TIRUPUR DISTRICT,Madathukkulam Panchayat Union,77,77,11,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 3, 'general': 6}"
186,TIRUPUR DISTRICT,Mulanur Panchayat Union,77,77,12,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 3, 'general': 6}"
187,TIRUPUR DISTRICT,Palladam Panchayat Union,77,77,20,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 11}"
188,TIRUPUR DISTRICT,Pongalur Panchayat Union,77,77,16,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
189,TIRUPUR DISTRICT,Tiruppur Panchayat Union,77,77,13,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 5, 'general': 5}"
190,TIRUPUR DISTRICT,Udumalpet Panchayat Union,77,78,38,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 10, 'general': 20}"
191,TIRUPUR DISTRICT,Uthukkuli Panchayat Union,78,78,37,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 10, 'general': 19}"
192,TIRUPUR DISTRICT,Vellakovil Panchayat Union,78,78,9,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 2, 'general': 5}"
193,NILGIRIS DISTRICT,Udhagamandalam Panchayat Union,79,79,13,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 6}"
194,NILGIRIS DISTRICT,Coonoor Panchayat Union,79,79,6,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 1, 'general': 2}"
195,NILGIRIS DISTRICT,Gudalur Panchayat Union,79,79,5,"{'stgeneral': 1, 'scgeneral': 1, 'generalwomen': 2, 'general': 1}"
196,NILGIRIS DISTRICT,Kotagiri Panchayat Union,79,79,11,"{'stgeneral': 1, 'scwomen': 1, 'scgeneral': 2, 'generalwomen': 3, 'general': 4}"
197,THANJAVUR DISTRICT,Thanjavur Panchayat Union,80,80,61,"{'scwomen': 5, 'scgeneral': 10, 'generalwomen': 16, 'general': 30}"
198,THANJAVUR DISTRICT,Kumbakonam Panchayat Union,80,81,47,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 12, 'general': 23}"
199,THANJAVUR DISTRICT,Papansam Panchayat Union,81,81,34,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 9, 'general': 18}"
200,THANJAVUR DISTRICT,Thiruvidaimarudur Panchayat Union,81,81,48,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 12, 'general': 25}"
201,THANJAVUR DISTRICT,Thiruvaiyaru Panchayat Union,81,82,40,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 10, 'general': 19}"
202,THANJAVUR DISTRICT,Thiruppanandal Panchayat Union,82,82,44,"{'scwomen': 6, 'scgeneral': 11, 'generalwomen': 9, 'general': 18}"
203,THANJAVUR DISTRICT,Thiruvonam Panchayat Union,82,83,30,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 7, 'general': 16}"
204,THANJAVUR DISTRICT,Orathanad Panchayat Union,83,83,58,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 17, 'general': 33}"
205,THANJAVUR DISTRICT,Peravurani Panchayat Union,83,83,26,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 8, 'general': 15}"
206,THANJAVUR DISTRICT,Sethubavachatram Panchayat Union,83,84,37,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 11, 'general': 22}"
207,THANJAVUR DISTRICT,Budalur Panchayat Union,84,84,42,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 10, 'general': 20}"
208,THANJAVUR DISTRICT,Ammapet Panchayat Union,84,85,46,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 10, 'general': 20}"
209,THANJAVUR DISTRICT,Pattukkottai Panchayat Union,85,85,43,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 13, 'general': 24}"
210,THANJAVUR DISTRICT,Madukkur Panchayat Union,85,85,33,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 9, 'general': 20}"
211,NAGAPATTINAM DISTRICT,Nagapattinam Panchayat Union,86,86,29,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 6, 'general': 13}"
212,NAGAPATTINAM DISTRICT,Keelaiyur Panchayat Union,86,86,27,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 6, 'general': 12}"
213,NAGAPATTINAM DISTRICT,Kilvelur Panchayat Union,86,86,38,"{'scwomen': 7, 'scgeneral': 13, 'generalwomen': 6, 'general': 12}"
214,NAGAPATTINAM DISTRICT,Thirumarugal Panchayat Union,86,87,39,"{'scwomen': 5, 'scgeneral': 10, 'generalwomen': 8, 'general': 16}"
215,NAGAPATTINAM DISTRICT,Mayiladuthurai Panchayat Union,87,87,54,"{'scwomen': 7, 'scgeneral': 14, 'generalwomen': 11, 'general': 22}"
216,NAGAPATTINAM DISTRICT,Kuthalam Panchayat Union,87,88,51,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 11, 'general': 24}"
217,NAGAPATTINAM DISTRICT,Sembanarkoil Panchayat Union,88,88,57,"{'scwomen': 6, 'scgeneral': 12, 'generalwomen': 13, 'general': 26}"
218,NAGAPATTINAM DISTRICT,Sirkali Panchayat Union,88,88,37,"{'scwomen': 5, 'scgeneral': 8, 'generalwomen': 8, 'general': 16}"
219,NAGAPATTINAM DISTRICT,Kollidam Panchayat Union,88,89,42,"{'scwomen': 5, 'scgeneral': 10, 'generalwomen': 9, 'general': 18}"
220,NAGAPATTINAM DISTRICT,Vedaranyam Panchayat Union,89,89,36,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 9, 'general': 20}"
221,NAGAPATTINAM DISTRICT,Thalanayar Panchayat Union,89,89,24,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 5, 'general': 11}"
222,TIRUVARUR DISTRICT,TIRUVARUR PANCHAYAT UNION,90,90,34,"{'scwomen': 5, 'scgeneral': 9, 'generalwomen': 7, 'general': 13}"
223,TIRUVARUR DISTRICT,NANNILAM PANCHAYAT UNION,90,90,48,"{'scwomen': 6, 'scgeneral': 11, 'generalwomen': 10, 'general': 21}"
224,TIRUVARUR DISTRICT,KODAVASAL PANCHAYAT UNION,90,91,49,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 13, 'general': 25}"
225,TIRUVARUR DISTRICT,VALANGAIMAN PANCHAYAT UNION,91,91,50,"{'scwomen': 8, 'scgeneral': 14, 'generalwomen': 9, 'general': 19}"
226,TIRUVARUR DISTRICT,KORADACHERY PANCHAYAT UNION,91,92,44,"{'scwomen': 6, 'scgeneral': 12, 'generalwomen': 9, 'general': 17}"
227,TIRUVARUR DISTRICT,NEEDAMANGALAM PANCHAYAT UNION,92,92,44,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 11, 'general': 22}"
228,TIRUVARUR DISTRICT,MANNARGUDI PANCHAYAT UNION,92,93,51,"{'scwomen': 6, 'scgeneral': 11, 'generalwomen': 11, 'general': 23}"
229,TIRUVARUR DISTRICT,KOTTUR PANCHAYAT UNION,93,93,49,"{'scwomen': 8, 'scgeneral': 14, 'generalwomen': 9, 'general': 18}"
230,TIRUVARUR DISTRICT,THIRUTHURAIPOONDI PANCHAYAT UNION,93,93,32,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 5, 'general': 11}"
231,TIRUVARUR DISTRICT,MUTHUPET PANCHAYAT UNION,93,94,29,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 7, 'general': 13}"
232,TIRUCHIRAPALLI DISTRICT,ANDANALLUR PANCHAYAT UNION,95,95,25,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 6, 'general': 12}"
233,TIRUCHIRAPALLI DISTRICT,MANIKANDAM PANCHAYAT UNION,95,95,22,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 6, 'general': 12}"
234,TIRUCHIRAPALLI DISTRICT,THIRUVERAMBUR PANCHAYAT UNION,96,96,20,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 11}"
235,TIRUCHIRAPALLI DISTRICT,MANAPPARAI PANCHAYAT UNION,96,96,21,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 12}"
236,TIRUCHIRAPALLI DISTRICT,VAIYAMPATTI PANCHAYAT UNION,97,97,18,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 5, 'general': 10}"
237,TIRUCHIRAPALLI DISTRICT,MARUNGAPURI PANCHAYAT UNION,97,97,49,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 13, 'general': 26}"
238,TIRUCHIRAPALLI DISTRICT,MUSIRI PANCHAYAT UNION,98,98,33,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 8, 'general': 17}"
239,TIRUCHIRAPALLI DISTRICT,THOTTIAM PANCHAYAT UNION,98,98,26,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 7, 'general': 14}"
240,TIRUCHIRAPALLI DISTRICT,THATHAIYENGARPETTAI PANCHAYAT UNION,98,99,25,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 7, 'general': 14}"
241,TIRUCHIRAPALLI DISTRICT,THURAIYUR PANCHAYAT UNION,99,99,34,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 3, 'scgeneral': 4, 'generalwomen': 8, 'general': 17}"
242,TIRUCHIRAPALLI DISTRICT,UPPILIAPURAM PANCHAYAT UNION,99,100,18,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 3, 'generalwomen': 4, 'general': 8}"
243,TIRUCHIRAPALLI DISTRICT,MANACHANALLUR PANCHAYAT UNION,100,100,35,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 9, 'general': 19}"
244,TIRUCHIRAPALLI DISTRICT,LALGUDI PANCHAYAT UNION,100,101,45,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 11, 'general': 22}"
245,TIRUCHIRAPALLI DISTRICT,PULLAMBADI PANCHAYAT UNION,101,101,33,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 9, 'general': 18}"
246,KARUR DISTRICT,Karur Panchayat Union,102,102,14,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 7}"
247,KARUR DISTRICT,Thanthoni Panchayat Union,102,102,17,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 4, 'general': 9}"
248,KARUR DISTRICT,Aravakurichi Panchayat Union,102,102,20,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 5, 'general': 10}"
249,KARUR DISTRICT,K. Paramathi Panchayat Union,102,102,30,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 7, 'general': 15}"
250,KARUR DISTRICT,Kulithalai Panchayat Union,103,103,13,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 3, 'general': 6}"
251,KARUR DISTRICT,Krishnarayapuram Panchayat Union,103,103,23,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 6, 'general': 11}"
252,KARUR DISTRICT,Kadavur Panchayat Union,103,103,20,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 11}"
253,KARUR DISTRICT,Thogamalai Panchayat Union,103,103,20,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 11}"
254,PERAMBALUR DISTRICT,Perambalur Panchayat Union,104,104,20,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 4, 'general': 9}"
255,PERAMBALUR DISTRICT,Veppanthattai Panchayat Union,104,104,29,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 7, 'general': 13}"
256,PERAMBALUR DISTRICT,Alathur Panchayat Union,104,105,39,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 9, 'general': 20}"
257,PERAMBALUR DISTRICT,Veppur Panchayat Union,105,105,33,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 7, 'general': 15}"
258,ARIYALUR DISTRICT,Ariyalur Panchayat Union,106,106,37,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 10, 'general': 18}"
259,ARIYALUR DISTRICT,Thirumanur Panchayat Union,106,106,36,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 9, 'general': 20}"
260,ARIYALUR DISTRICT,Sendurai Panchayat Union:,107,107,30,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 7, 'general': 15}"
261,ARIYALUR DISTRICT,Jeyankondam Panchayat Union:,107,107,35,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 6, 'generalwomen': 9, 'general': 16}"
262,ARIYALUR DISTRICT,T.Palur Panchayat Union:,108,108,33,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 3, 'generalwomen': 8, 'general': 18}"
263,ARIYALUR DISTRICT,Andimadam Panchayat Union:,108,108,30,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 4, 'generalwomen': 8, 'general': 15}"
264,PUDUKKOTTAI DISTRICT,ANNAVASAL PANCHAYAT UNION,109,109,43,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 11, 'general': 22}"
265,PUDUKKOTTAI DISTRICT,ARANTHANGI PANCHAYAT UNION :,109,109,52,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 16, 'general': 30}"
266,PUDUKKOTTAI DISTRICT,ARIMALAM PANCHAYAT UNION :,110,110,32,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 9, 'general': 17}"
267,PUDUKKOTTAI DISTRICT,AVUDAIYARKOIL PANCHAYAT UNION,110,110,35,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 10, 'general': 19}"
268,PUDUKKOTTAI DISTRICT,GANDARVAKKOTTAI PANCHAYAT UNION,110,110,36,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 8, 'general': 18}"
269,PUDUKKOTTAI DISTRICT,KARAMBAKUDI PANCHAYAT UNION,111,111,39,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 9, 'general': 19}"
270,PUDUKKOTTAI DISTRICT,KUNNANDARKOIL PANCHAYAT UNION,111,111,37,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 11, 'general': 21}"
271,PUDUKKOTTAI DISTRICT,MANAMELKUDI PANCHAYAT UNION,111,111,28,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 8, 'general': 16}"
272,PUDUKKOTTAI DISTRICT,PONNAMARAVATHY PANCHAYAT UNION,112,112,42,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 11, 'general': 24}"
273,PUDUKKOTTAI DISTRICT,PUDUKKOTTAI PANCHAYAT UNION,112,112,27,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 7, 'general': 14}"
274,PUDUKKOTTAI DISTRICT,THIRUMAYAM PANCHAYAT UNION,112,112,33,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 8, 'general': 18}"
275,PUDUKKOTTAI DISTRICT,THIRUVARANKULAM PANCHAYAT UNION,113,113,48,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 13, 'general': 28}"
276,PUDUKKOTTAI DISTRICT,VIRALIMALAI PANCHAYAT UNION,113,113,45,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 12, 'general': 25}"
277,MADURAI DISTRICT,Madurai East Panchayat Union,114,114,36,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 8, 'general': 21}"
278,MADURAI DISTRICT,Madurai West Panchayat Union,114,114,29,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 8, 'general': 15}"
279,MADURAI DISTRICT,Tirupparankundram Panchayat Union,114,115,38,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 12, 'general': 20}"
280,MADURAI DISTRICT,Melur Panchayat Union,115,115,36,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 9, 'general': 20}"
281,MADURAI DISTRICT,Kottampatti Panchayat Union,115,115,27,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 7, 'general': 16}"
282,MADURAI DISTRICT,Alanganallur Panchayat Union,115,116,37,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 10, 'general': 19}"
283,MADURAI DISTRICT,Vadipatti Panchayat Union,116,116,23,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 6, 'general': 11}"
284,MADURAI DISTRICT,Usilampatti Panchayat Union,116,116,18,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 5, 'general': 10}"
285,MADURAI DISTRICT,Chellampatti Panchayat Union,116,116,29,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 8, 'general': 16}"
286,MADURAI DISTRICT,Sedapatti Panchayat Union,116,117,31,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 8, 'general': 15}"
287,MADURAI DISTRICT,Tirumangalam Panchayat Union,117,117,38,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 10, 'general': 21}"
288,MADURAI DISTRICT,T.Kallupatti Panchayat Union,117,118,42,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 10, 'general': 22}"
289,MADURAI DISTRICT,Kalligudi Panchayat Union,118,118,36,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 10, 'general': 20}"
290,Theni District,Periyakulam Panchayat Union,119,119,17,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 4, 'general': 9}"
291,Theni District,Andipatti Panchayat Union,119,119,30,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 7, 'general': 15}"
292,Theni District,K. Myladumparai Panchayat Union,119,119,18,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 4, 'general': 10}"
293,Theni District,Theni Panchayat Union,119,119,18,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 4, 'general': 8}"
294,Theni District,Bodinayakanur Panchayat Union,119,120,15,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
295,Theni District,Chinnamanur Panchayat Union,120,120,14,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 3, 'general': 7}"
296,Theni District,Uthamapalayam Panchayat Union,120,120,13,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 4, 'general': 7}"
297,Theni District,Cumbum Panchayat Union,120,120,5,"{'scgeneral': 1, 'generalwomen': 2, 'general': 2}"
298,DINDIGUL DISTRICT,Athoor Panchayat Union,121,121,22,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 6, 'general': 11}"
299,DINDIGUL DISTRICT,Dindigul Panchayat Union,121,121,14,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 7}"
300,DINDIGUL DISTRICT,Reddiarchatram Panchayat Union,121,121,24,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 6, 'general': 14}"
301,DINDIGUL DISTRICT,Shanarpatti Panchayat Union,121,121,21,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 12}"
302,DINDIGUL DISTRICT,Natham Panchayat Union,121,122,23,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 7, 'general': 13}"
303,DINDIGUL DISTRICT,Nilakottai Panchayat Union,122,122,23,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 5, 'general': 11}"
304,DINDIGUL DISTRICT,Vathlagundu Panchayat Union,122,122,17,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 4, 'general': 8}"
305,DINDIGUL DISTRICT,Vadamadurai Panchayat Union,122,122,15,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
306,DINDIGUL DISTRICT,Vedasandur Panchayat Union,122,122,22,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 7, 'general': 12}"
307,DINDIGUL DISTRICT,Guziliamparai Panchayat Union,122,123,17,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 4, 'general': 9}"
308,DINDIGUL DISTRICT,Oddanchatram Panchayat Union,123,123,35,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 9, 'general': 19}"
309,DINDIGUL DISTRICT,Palani Panchayat Union,123,123,20,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 5, 'general': 9}"
310,DINDIGUL DISTRICT,Thoppampatti Panchayat Union,123,124,38,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 10, 'general': 20}"
311,DINDIGUL DISTRICT,Kodaikanal Panchayat Union,124,124,15,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
312,RAMANATHAPURAM DISTRICT,Ramanathapuram Panchayat Union,125,125,25,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 6, 'general': 12}"
313,RAMANATHAPURAM DISTRICT,Thiruppullani Panchayat Union,125,125,33,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 8, 'general': 17}"
314,RAMANATHAPURAM DISTRICT,Mandapam Panchayat Union,125,125,28,"{'scgeneral': 1, 'generalwomen': 10, 'general': 17}"
315,RAMANATHAPURAM DISTRICT,R.S.Mangalam Panchayat Union,126,126,35,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 9, 'general': 18}"
316,RAMANATHAPURAM DISTRICT,Thiruvadanai Panchayat Union,126,126,47,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 13, 'general': 26}"
317,RAMANATHAPURAM DISTRICT,Paramakudi Panchayat Union,126,127,39,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 9, 'general': 18}"
318,RAMANATHAPURAM DISTRICT,Bogalur Panchayat Union,127,127,26,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 5, 'general': 10}"
319,RAMANATHAPURAM DISTRICT,Nainarkovil Panchayat Union,127,127,37,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 10, 'general': 19}"
320,RAMANATHAPURAM DISTRICT,Mudukulathur Panchayat Union,127,128,46,"{'scwomen': 5, 'scgeneral': 9, 'generalwomen': 11, 'general': 21}"
321,RAMANATHAPURAM DISTRICT,Kamuthi Panchayat Union,128,128,53,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 14, 'general': 27}"
322,RAMANATHAPURAM DISTRICT,Kadaladi Panchayat Union,128,129,60,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 17, 'general': 34}"
323,VIRUDHUNAGAR DISTRICT,Aruppukottai Panchayat Union,130,130,32,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 9, 'general': 19}"
324,VIRUDHUNAGAR DISTRICT,Kariapatti Panchayat Union,130,130,36,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 9, 'general': 19}"
325,VIRUDHUNAGAR DISTRICT,Thiruchuli Panchayat Union,130,131,40,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 12, 'general': 22}"
326,VIRUDHUNAGAR DISTRICT,Narikudi Panchayat Union,131,131,44,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 11, 'general': 23}"
327,VIRUDHUNAGAR DISTRICT,Virudhunagar Panchayat Union,131,132,58,"{'scwomen': 5, 'scgeneral': 8, 'generalwomen': 15, 'general': 30}"
328,VIRUDHUNAGAR DISTRICT,Sattur Panchayat Union,132,133,46,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 12, 'general': 22}"
329,VIRUDHUNAGAR DISTRICT,Sivakasi Panchayat Union,133,133,54,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 14, 'general': 30}"
330,VIRUDHUNAGAR DISTRICT,Vembakottai Panchayat Union,133,134,48,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 12, 'general': 26}"
331,VIRUDHUNAGAR DISTRICT,Srivilliputhur Panchayat Union,134,134,29,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 6, 'general': 13}"
332,VIRUDHUNAGAR DISTRICT,Watrap Panchayat Union,134,135,27,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 6, 'general': 12}"
333,VIRUDHUNAGAR DISTRICT,Rajapalayam Panchayat Union,135,135,36,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 8, 'general': 18}"
