file,url,sha256,bytes,kind,role
raw/730bb8ed8c870820.zip,https://zenodo.org/records/10805145/files/replication_package.zip?download=1,95b536fc7d3ba980341afa2d632f8f1cc93dbab0fbbdb15498815be49b519aac,20460931,qe2024_replication,inspected_assembly_reservation_only
raw/bb1671a705d56009.pdf,https://cdnbbsr.s3waas.gov.in/s316026d60ff9b54410b3435b403afd226/uploads/2023/06/2023060268.pdf,dccc18b5cc1d9ff8fed0765f7a72c9c411f03bb6f442cd879ee526ab651a9062,2126903,official_election_calendar,geography_and_cycle_reference
raw/339b26ca88f6daee.pdf,https://eml.berkeley.edu/~webfac/bardhan/papers/WBReserv1209finalverjgd_rev1.pdf,9d5ce1ba34634542026458d93a9d5f68a9307c4eaa98cc0d64c1e430ae4fe43c,190833,research_reference_or_search_index,not_counted
raw/f0b404cf0864420e.json,"http://web.archive.org/cdx/search/cdx?url=hooghly.nic.in/*&filter=statuscode:200&collapse=urlkey&output=json&fl=original,timestamp,mimetype&to=2007&limit=10000&showResumeKey=true",a9dae1f13ed19718fe911e1bf149ee7ffa1a69763835ac907cf7cb36488a97c5,33726,research_reference_or_search_index,not_counted
raw/c7b48ca31b5ae7b9.html,http://web.archive.org/web/20050118002212id_/http://hooghly.nic.in:80/hzp/Chin-Mog.htm,4283db6d0417a794dcfac18942c24233d954cc84761deb955f785c06e1e51333,24842,research_reference_or_search_index,not_counted
raw/b00c30d8f25f7f2c.html,http://web.archive.org/web/20041117103339id_/http://hooghly.nic.in:80/hzp/Arambagh.htm,cee8af3fb1e6757f7c9a846b7ee8454d38fd0d68b85f8b9d74cb062a432e0c5d,9225,research_reference_or_search_index,not_counted
raw/cf46dddf24f54cae.html,http://web.archive.org/web/20050117235642id_/http://hooghly.nic.in:80/hzp/Balagar.htm,05a47e0a3e390ec4f05936af94910759dbe91a3e114cc086646345f0bb13bd3a,10424,research_reference_or_search_index,not_counted
raw/965fc193ae3cb7dc.json,"http://web.archive.org/cdx/search/cdx?url=howrah.nic.in/*&filter=statuscode:200&collapse=urlkey&output=json&fl=original,timestamp,mimetype&to=2007&limit=10000&showResumeKey=true",0b1071ae5d8509275921b5aa9a695ee2252fd3be99391d73451d25c28a600ca4,105,research_reference_or_search_index,not_counted
raw/48ef04076b019e81.json,"http://web.archive.org/cdx/search/cdx?url=nadia.nic.in/*&filter=statuscode:200&collapse=urlkey&output=json&fl=original,timestamp,mimetype&to=2007&limit=10000&showResumeKey=true",556646cd78d3dc50b8a9991a5df5cd5f91fc90e17597b518b13bac3c329e5209,30372,research_reference_or_search_index,not_counted
raw/3e1708745c086604.html,http://web.archive.org/web/20040704065705id_/http://nadia.nic.in:80/GP_wise_Details/gp_wise_details.html,4bfd01165069c79db077ad665500e4ffb4e21264707ee35357437924fb6105ea,14564,gp_map_navigation,excluded_no_reservation_fields
