source_path,source_sha256,source_page,district,year,stage,ocr_cache,layout,structured_gp_candidates,structured_other_tier_candidates,coverage,reason,reason_evidence,gp_identifier_tokens,ps_identifier_tokens,bengali_letter_fraction,source_page_link,sample_image
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Daksin bara haldibari.pdf,2ce33f4e02afc3484116c8679690c71ae67936b188abc323751ddde57c8c5176,3,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/2ce33f4e02afc3484116c8679690c71ae67936b188abc323751ddde57c8c5176/0003.json,gp_form_a,0,0,raw_only,column_number_style_not_supported_or_ambiguous,reader_diagnostic,4,0,0.026,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Daksin bara haldibari.pdf#page=3,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Dewanganj Haldibari.pdf,c6d9d67da1c3c0121e341a9499433447a44343acb6d87996aee63cf30db62d22,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/c6d9d67da1c3c0121e341a9499433447a44343acb6d87996aee63cf30db62d22/0001.json,gp_form_a,0,0,raw_only,possible_order_only_page,reader_diagnostic,0,0,0.0,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Dewanganj Haldibari.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Dewanganj Haldibari.pdf,c6d9d67da1c3c0121e341a9499433447a44343acb6d87996aee63cf30db62d22,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/c6d9d67da1c3c0121e341a9499433447a44343acb6d87996aee63cf30db62d22/0002.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,6,0,0.009,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Dewanganj Haldibari.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Dewanganj Haldibari.pdf,c6d9d67da1c3c0121e341a9499433447a44343acb6d87996aee63cf30db62d22,3,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/c6d9d67da1c3c0121e341a9499433447a44343acb6d87996aee63cf30db62d22/0003.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,4,0,0.04,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Dewanganj Haldibari.pdf#page=3,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Per Mekhliganj Haldibari.pdf,6edefacd383c5ba3a515b632c4f2f8f49bc00522aa00c09eb8d6be8b367b5ec2,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/6edefacd383c5ba3a515b632c4f2f8f49bc00522aa00c09eb8d6be8b367b5ec2/0001.json,gp_form_a,0,0,raw_only,possible_order_only_page,reader_diagnostic,0,0,0.0,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Per Mekhliganj Haldibari.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Per Mekhliganj Haldibari.pdf,6edefacd383c5ba3a515b632c4f2f8f49bc00522aa00c09eb8d6be8b367b5ec2,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/6edefacd383c5ba3a515b632c4f2f8f49bc00522aa00c09eb8d6be8b367b5ec2/0002.json,gp_form_a,0,0,raw_only,column_number_style_not_supported_or_ambiguous,reader_diagnostic,6,0,0.016,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Per Mekhliganj Haldibari.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Per Mekhliganj Haldibari.pdf,6edefacd383c5ba3a515b632c4f2f8f49bc00522aa00c09eb8d6be8b367b5ec2,3,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/6edefacd383c5ba3a515b632c4f2f8f49bc00522aa00c09eb8d6be8b367b5ec2/0003.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,2,0,0.025,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Per Mekhliganj Haldibari.pdf#page=3,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Uttar bara Haldibari.pdf,d95045db0a665a387595056f86343de82d46c0ed1d6417936e3e3329ced95d0d,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/d95045db0a665a387595056f86343de82d46c0ed1d6417936e3e3329ced95d0d/0001.json,gp_form_a,0,0,raw_only,possible_order_only_page,reader_diagnostic,0,0,0.0,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Uttar bara Haldibari.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Uttar bara Haldibari.pdf,d95045db0a665a387595056f86343de82d46c0ed1d6417936e3e3329ced95d0d,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/d95045db0a665a387595056f86343de82d46c0ed1d6417936e3e3329ced95d0d/0002.json,gp_form_a,0,0,raw_only,column_number_style_not_supported_or_ambiguous,reader_diagnostic,5,0,0.024,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Uttar bara Haldibari.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Uttar bara Haldibari.pdf,d95045db0a665a387595056f86343de82d46c0ed1d6417936e3e3329ced95d0d,3,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/d95045db0a665a387595056f86343de82d46c0ed1d6417936e3e3329ced95d0d/0003.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,8,0,0.006,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Uttar bara Haldibari.pdf#page=3,
